Author,Comment,Video ID
@KingMcMaster,Russell scheint ein ganz großer zu werden. Bin kein Fan von irgendeinem Fahrer. Ist rein objektiv von mir gesehen. Verstappen ist schon eine Klasse für sich. Unglaubliche mentale Stärke wo derzeit niemand dran kommt. Schon sehr bemerkenswert wie er Weltmeister wird und sein Team nur den dritten Platz in der Wertung belegt. Hat es das schonmal gegeben?,QqD9X_p_L5E
@die_violine,"Hamilton sau stark vorgefahren, russel qualifiying und rennen immer oben, Ferrari das beste Rausgeholt, Verstappen sicher gewesen. Ich glaube viele Fahrer gut drauf in vegas",QqD9X_p_L5E
@BaHTRieD,"Das sind die Emotionen, die ich sehen will. 
Well Done Verstappen. Er hat gezeigt, dass er ein unfassbarer Fahrer ist.
Als Hamilton Fan gibts jetzt für mich auch noch mal was zu feiern. 
Von 10 auf 2 ist wirklich sehr gut. 
Und ich bin mir sicher, wäre er weiter vorne gestartet, hätte er auch gewinnen können. 
Aber all in all kann er es immer noch. 

Und für Russel freut es mich auch extrem. Sehr sehr gutes Rennen von ihm. Gut verteidigt. 🎉🎉🎉",QqD9X_p_L5E
@realelonmusk2024,nicht vergessen das Ferrai konstrukteur weltmeister werden kann,QqD9X_p_L5E
@Bubchen81,"8:45 ""volle Konzentrolle"".  😂",QqD9X_p_L5E
@dierkschurack-ye9kr,Super max gratulation,QqD9X_p_L5E
@earlybirdearlybird1371,R T L - Richtig Tolle Trottel ! Wer heute die Übertragung des Schrottsenders gesehen hat der brauchte starke Nerven.Was sich Wasser und Danner geleistet haben war das schlechteste an Motorsport Berichterstattung was ich je gesehen habe. Und ich habe in fast 50 Jahren viel gesehen.SKY ist schlau und gibt RTL ein paar Rennen damit danach die Fans freiwillig zum Sky Abo kommen.Aber dafür liebe ich die F1 schon lange nicht mehr genug. 2026 bin ich sowieso weg weil ich keinen Bock auf Batterie-Matchbox Autos habe.👎👎👎,QqD9X_p_L5E
@LotexGamerLP666,4 und letzter Titel für ihn 2025 wird es Norries da bin ich mir sicher und Verstappen bekommt keinen mehr ihn wird das gleiche passieren wie vettel,QqD9X_p_L5E
@MarioMost,Meinen Glückwunsch an Max Verstappen zu seinem 4.WMTitel,QqD9X_p_L5E
@billion1983,McLaren schwach,QqD9X_p_L5E
@grossmeister1181,"16:05 - nein, das ist ein Doppelsieg! Ein Doppel-Podium wäre 1-3 oder 2-3...",QqD9X_p_L5E
@LukaS-483X6M,Unverdient,QqD9X_p_L5E
@Dasomni,👍,QqD9X_p_L5E
@TheBlackHole1454,Max Verstappen is a 4 time World Champion. SIMPLY LOVELY 🧡🇳🇱💪🏻🦁🏆.,QqD9X_p_L5E
@Kamikaze1408,GÄÄÄÄÄHN,QqD9X_p_L5E
@dirk-michaelhoffmann8080,"Glückwunsch an Max Verstappen für den 4. Formel 1 Weltmeister-Titel, den er sich redlich verdient hat! Nico Hülkenberg hat auch sehr gute Arbeit geleistet!",QqD9X_p_L5E
@eazypeazy1991,Absolut verdienter Weltmeister 🔥🔥🔥🥳,QqD9X_p_L5E
@brk_hyper219,Stark von Mercedes,QqD9X_p_L5E
@psydog6,Schönes rennen der sterne,QqD9X_p_L5E
@Tim2008-b9y,"Verstappen verdient Weltmeister, mal sehen wie die Konstrukteurs WM ausgeht.",QqD9X_p_L5E
@fabbz1182,Freue mich für Hülkenberg der Rest ist mir egal 😊❤,QqD9X_p_L5E
@lolschrauber,"McLaren reißt echt kaum noch was seit dem sie ihre flügel gestutzt bekommen haben.

Hoffentlich verlieren sie die kiste noch an ferrari.",QqD9X_p_L5E
@AndiFilmfreak,"Hamilton ist und bleibt der beste, mit 40 Jahren, fährt er einfach mal fast zum Sieg🎉🎉🎉",QqD9X_p_L5E
@RobertSchmidt123,"Glückwunsch an Verstappen, aber ich freue mich am meisten über Hülki, tolle Leistung in so einer Kiste. Schade um Gasly, dem hätte ich auch gerne in den Punkten gesehen. Schlimm wo Aston Martin gerade steht, nach so einem guten Start in die Saison so abgeschmiert. Perez und Stroll hinterlassen bei mir sowieso Kopschütteln.",QqD9X_p_L5E
@AndiFilmfreak,"Glückwunsch an Mercedes stark.
Für Max wird es der letzte WM Titel sein, in normalen Auto, gurkt er nur im Mittelfeld rum, Hamilton hat ihn einfach geschluck.",QqD9X_p_L5E
@sevenfifteen,"Und natürlich fehlten Norris (neben seinem eigenen Unvermögen) genau all die Punkte, die man verlor, weil man Piastri den Vorzug gab. Diese Entscheidungen versteht auch nur McLaren selber. Er wäre sonst jetzt noch immer im Rennen um die Meisterschaft. Aber Verstappen hat es sich verdient. Sehr geil.",QqD9X_p_L5E
@derlachs3102,Bitte verschwindet wieder von der Bildfläche nicht auszuhalten,QqD9X_p_L5E
@tinabolz5377,Glückwunsch an Max mit so einem Auto zum 4 mal Weltmeister werden Einfach Mega er gehört zu den ganz Großen bin so Happy 🎉🎉🎉🎉🎉,QqD9X_p_L5E
